课次,单元,日语词条,读音,词性,中文翻译
第11課,練習用単語,満足,まんぞく①,名・形Ⅱ・自Ⅲ,满足；满意
第11課,練習用単語,疲れる,つかれる③,自Ⅱ,疲劳；累
第11課,練習用単語,困る,こまる②,自Ⅰ,为难
第11課,練習用単語,失敗,しっぱい①,名・自Ⅲ,失败
第11課,練習用単語,桜並木,さくらなみき①,名,樱花树林
第11課,練習用単語,感動,かんどう①,名・自Ⅲ,感动
第11課,練習用単語,骨,ほね②,名,骨头；骨骼；骸骨
第11課,練習用単語,冬休み,ふゆやすみ③,名,寒假
第11課,練習用単語,遅く,おそく①,名,晚；迟
第11課,練習用単語,眠い,ねむい①②,形Ⅰ,困（的）；犯困（的）
第11課,練習用単語,晴れる,はれる②,自Ⅱ,晴朗；放晴；（心情）舒畅
第11課,練習用単語,カルシウム,③,固名,钙
第11課,練習用単語,豊富,ほうふ①,名・形Ⅱ,丰富
第11課,練習用単語,やる,①,他Ⅰ,做；从事；给（晚辈、地位低的人东西或给动物喂食、植物浇水）
第11課,練習用単語,相撲,すもう①,名,相扑
第11課,練習用単語,柔道,じゅうどう①,名,柔道
第11課,練習用単語,生け花,いけばな②,名,插花
第11課,練習用単語,茶道,さどう/ちゃどう①,名,茶道
第11課,練習用単語,おせち料理,おせちりょうり④,固名,日本年夜饭；御节料理
第12課,練習用単語,ガイドブック,④,名,指南
第12課,練習用単語,海水浴,かいすいよく③,名,海水浴
第12課,練習用単語,出発,しゅっぱつ①,名・自Ⅲ,出发
第12課,練習用単語,晩飯,ばんめし③,名,晚饭
第12課,練習用単語,集合,しゅうごう①,名・自他Ⅲ,集合
第12課,練習用単語,UFO,ユーフォー①,名,UFO；不明飞行物
第12課,練習用単語,南,みなみ①,名,南；南边；南方
第12課,練習用単語,招待券,しょうたいけん③,名,请柬；邀请信；招待票
第12課,練習用単語,お年玉,おとしだま①,名,压岁钱；压岁红包
第12課,練習用単語,指輪,ゆびわ①,名,戒指
第12課,練習用単語,誕生日,たんじょうび③,名,生日
第12課,練習用単語,朝ご飯,あさごはん③,名,早饭
第12課,練習用単語,バイト代,バイトだい①,名,打工收入
第12課,練習用単語,スカーフ,②,名,围巾
第12課,練習用単語,忘れる,わすれる①,他Ⅱ,忘记；遗忘
第12課,練習用単語,腕時計,うでどけい③,名,手表；腕表
第12課,練習用単語,入学,にゅうがく①,名・自Ⅲ,入学
第12課,練習用単語,絵本,えほん②,名,绘本；连环画
第12課,練習用単語,見方,みかた①,名,看……的方法；观点
第12課,練習用単語,守る,まもる②,他Ⅰ,遵守；守；守卫；守护；保护
第12課,練習用単語,成長,せいちょう①,名・自Ⅲ,成长
第12課,練習用単語,記録,きろく①,名・他Ⅲ,记录
第12課,練習用単語,昼寝,ひるね①,名・自Ⅲ,午睡；午觉
第12課,練習用単語,人気者,にんきもの①,名,受欢迎者；受追捧者
第12課,練習用単語,ボランティア,②,名,志愿者
第12課,練習用単語,成果,せいか①,名,成果
第12課,練習用単語,実感,じっかん①,名・他Ⅲ,切实感受
第12課,練習用単語,シート,①,名,清单；工作表单；薄纸；整张；整版
