课次,单元,日语词条,读音,词性,中文翻译
第2課,練習用単語2-3,込む,こむ①,自Ⅰ,混杂；拥挤
第2課,練習用単語2-3,出会い,であい①,名,相遇；相逢；邂逅
第2課,練習用単語2-3,今後,こんご①,名,今后；以后
第2課,練習用単語2-3,手段,しゅだん①,名,手段；办法
第2課,練習用単語2-3,進歩,しんぽ①,名・自Ⅲ,进步
第2課,練習用単語2-3,さらに【更に】,①,副,更加
第2課,練習用単語2-3,ボランティア,②,名,志愿者
第2課,練習用単語2-3,できるだけ,①,名・副,尽力；尽可能
第2課,練習用単語2-3,広がる,ひろがる①,自Ⅰ,扩展；蔓延；展开
第2課,練習用単語2-3,各位,かくい②,名,各位
第2課,練習用単語2-3,プロジェクト,②③,名,项目；计划
第2課,練習用単語2-3,成功,せいこう①,名・自Ⅲ,成功
第2課,練習用単語2-3,不況,ふきょう①,名,不景气；萧条
第2課,練習用単語2-3,倒産,とうさん①,名・自Ⅲ,倒闭；破产
第2課,練習用単語2-3,不注意,ふちゅうい②,名・形Ⅱ,不注意；粗心大意
第2課,練習用単語2-3,発生,はっせい①,名・自Ⅲ,发生；产生
第2課,練習用単語2-3,確か,たしか①,形Ⅱ,确实；的确
第2課,練習用単語2-3,接客,せっきゃく①,名・自Ⅲ,会客；接待客人
第2課,練習用単語2-3,質,しつ①,名,质量；品质
第2課,練習用単語2-3,サービス,①,名・自Ⅲ,服务
第2課,練習用単語2-3,急成長,きゅうせいちょう③,名・自Ⅲ,迅速成长；迅速发展壮大
第2課,練習用単語2-3,新型コロナ,しんがたコロナ①-①,固名,新型冠状病毒
第2課,練習用単語2-3,新型,しんがた①,名,新型
第2課,練習用単語2-3,コロナ,①,名,（コロナウイルス的省略说法）冠状病毒
第2課,練習用単語2-3,人手不足,ひとでぶそく④,名,人手不足
第2課,練習用単語2-3,人手,ひとで①,名,人手
第2課,練習用単語2-3,不足,ふそく①,名・自Ⅲ,不足；短缺
第2課,練習用単語2-3,深刻,しんこく①,形Ⅱ,严肃；严重
第2課,練習用単語2-3,ボールペン,①,名,圆珠笔
第2課,練習用単語2-3,花屋,はなや②,名,花店
第2課,練習用単語2-3,通る,とおる①,自Ⅰ,通过；通行
第2課,練習用単語2-3,弱気,よわき①③,名・形Ⅱ,软弱；怯弱
第2課,練習用単語2-3,ストレス,②,名,压力
第2課,練習用単語2-3,溜まる,たまる①,自Ⅰ,积存；积压；攒
第2課,練習用単語2-3,失恋,しつれん①,名・自Ⅲ,失恋
第2課,練習用単語2-3,与える,あたえる①,他Ⅱ,给与
第2課,練習用単語2-3,-法,-ほう,接尾,方法
第2課,練習用単語2-3,基礎,きそ①②,名,基础
第2課,練習用単語2-3,洋服,ようふく①,名,洋服；洋装；西服
第2課,練習用単語2-3,世,よ①,名,人世间；社会；世道
第2課,練習用単語2-3,戦争,せんそう①,名,战争
第2課,練習用単語2-3,欠席,けっせき①,名・自Ⅲ,缺席
第2課,練習用単語2-3,減らす,へらす①,他Ⅰ,减少；削减
第2課,練習用単語2-3,見た目,みため①①,名,外观；看起来
第2課,練習用単語2-3,判断,はんだん①,名・他Ⅲ,判断
第2課,練習用単語2-3,悪口,わるくち・わるぐち②,名,（说）坏话
第2課,練習用単語2-3,分ける,わける②,他Ⅱ,区分
第2課,練習用単語2-3,世代,せだい①①,名,辈；代
第3課,練習用単語3-2,謝る,あやまる③,自Ⅰ,道歉；赔罪
第3課,練習用単語3-2,寝不足,ねぶそく①②,名,睡眠不足；缺觉
第3課,練習用単語3-2,重い,おもい①,形Ⅰ,重（的）；沉重（的）
第3課,練習用単語3-2,返事,へんじ③,名・自Ⅲ,回信；回答；答复
第3課,練習用単語3-2,成績,せいせき①,名,成绩
第3課,練習用単語3-2,火事,かじ①,名,火灾；着火
第3課,練習用単語3-2,彼氏,かれし①,名,男朋友
第3課,練習用単語3-2,休講,きゅうこう①,名・自他Ⅲ,停课
第3課,練習用単語3-2,合宿,がっしゅく①,名・自Ⅲ,集训；（班级等以研修为目的）外出住宿
第3課,練習用単語3-2,治る,なおる②,自Ⅰ,治好；痊愈
第3課,練習用単語3-2,講演,こうえん①,名・自Ⅲ,演讲
第3課,練習用単語3-2,天ぷら,てんぷら①,名,（葡萄牙语tempero的译词）油炸食品
第3課,練習用単語3-2,受付,うけつけ①,名,（医院、诊所等）挂号处；前台接待处；受理；接受
第3課,練習用単語3-2,回復,かいふく①,名・自Ⅲ,康复；恢复；复原
第3課,練習用単語3-2,豊か,ゆたか①,形Ⅱ,丰富（的）
第3課,練習用単語3-2,育つ,そだつ②,自Ⅰ,成长；养育
第3課,練習用単語3-2,イワシ,①,名,沙丁鱼
第3課,練習用単語3-2,子育て,こそだて②,名,育儿
第3課,練習用単語3-2,サポート,②,名・他Ⅲ,支援；支持
第3課,練習用単語3-2,育児,いくじ①,名,育儿
第3課,練習用単語3-2,両立,りょうりつ①,名・自Ⅲ,平衡；兼顾
第3課,練習用単語3-2,出かける,でかける①,自Ⅱ,外出；出门；到外面去
第3課,練習用単語3-2,お詫び,おわび①,名,道歉
第3課,練習用単語3-2,お礼,おれい①,名,感谢；酬谢；谢辞
第3課,練習用単語3-2,感謝,かんしゃ①,名・自Ⅲ,感谢
第3課,練習用単語3-2,全員,ぜんいん①,名,全员；所有人
第4課,練習用単語4-1,目上,めうえ①,名,上级；长辈
第4課,練習用単語4-1,敬語,けいご①,名,敬语
第4課,練習用単語4-1,提案,ていあん①,名・他Ⅲ,提案；提议；建议
第4課,練習用単語4-1,地震,じしん①,名,地震
第4課,練習用単語4-1,他人,たにん①,名,他人；别人
第4課,練習用単語4-1,屋上,おくじょう①,名,屋顶；房顶
第4課,練習用単語4-1,転換期,てんかんき③,名,转换期；转折期
第4課,練習用単語4-1,使用量,しようりょう③,名,使用量
第4課,練習用単語4-1,方向,ほうこう①,名,方向
第4課,練習用単語4-1,実力,じつりょく①,名,实力
第4課,練習用単語4-1,失業率,しつぎょうりつ③,名,失业率
第4課,練習用単語4-1,失業,しつぎょう①,名・自Ⅲ,失业
第4課,練習用単語4-1,改善,かいぜん①,名・他Ⅲ,改善
第4課,練習用単語4-1,景気,けいき①,名,景气
第4課,練習用単語4-1,緩やか,ゆるやか②,形Ⅱ,缓慢（的）；徐徐（的）
第4課,練習用単語4-1,予想,よそう①,名・他Ⅲ,预想；设想；预测
第4課,練習用単語4-1,促す,うながす③①,他Ⅰ,催促；促成
第4課,練習用単語4-2,文句,もんく①,名,抱怨；牢骚
第4課,練習用単語4-2,砂糖,さとう②,名,糖；砂糖
第4課,練習用単語4-2,昆明,こんめい①,固名,昆明
第4課,練習用単語4-2,招待,しょうたい①,名・他Ⅲ,邀请
第4課,練習用単語4-2,あげる【上げる・挙げる・揚げる】,①,他Ⅱ,放（烟火）（花火をあげる）
第4課,練習用単語4-2,交通,こうつう①,名,交通；通信往来
第4課,練習用単語4-2,コップ,①,名,玻璃杯
第4課,練習用単語4-2,指示,しじ①,名・他Ⅲ,指示；指导
第4課,練習用単語4-2,生まれ変わる,うまれかわる⑤,自Ⅰ,脱胎换骨；再生；转世
第4課,練習用単語4-2,席順,せきじゅん①,名,座位次序
第4課,練習用単語4-2,-順,-じゅん,接尾,~顺序
第4課,練習用単語4-2,おしゃれ,①,形Ⅱ・自Ⅲ,（打扮）时髦；潇洒
第5課,練習用単語5-1,尊敬,そんけい①,名・他Ⅲ,尊敬；尊重
第5課,練習用単語5-1,なさる,②,他Ⅰ,（「する」的尊敬说法）做；干
第5課,練習用単語5-1,謙譲,けんじょう①,名・形Ⅱ,谦虚；谦让
第5課,練習用単語5-1,参る,まいる①,自Ⅰ,（「来る・行く」的自谦说法）来；去
第5課,練習用単語5-1,スーツケース,④,名,旅行箱
第5課,練習用単語5-1,いたす【致す】,②,他Ⅰ,（「する」的自谦说法）致力；做
第5課,練習用単語5-1,家族連れ,かぞくづれ①,名,带着家人
第5課,練習用単語5-1,-連れ,-づれ,接尾,带着~
第5課,練習用単語5-1,勧める,すすめる①,他Ⅱ,推荐；劝
第5課,練習用単語5-1,オフ会,オフかい①,名,（off-line meeting的省略说法）线下会议
第5課,練習用単語5-1,弁論,べんろん①,名・自Ⅲ,辩论
第5課,練習用単語5-1,優勝,ゆうしょう①,名・自Ⅲ,优胜；夺冠
第5課,練習用単語5-1,力がつく,ちからがつく③-①,有了能力；实力提升
第5課,練習用単語5-1,力,ちから③,名,力量；实力
第5課,練習用単語5-1,申し出る,もうしでる④①,他Ⅱ,提出（申请）
第5課,練習用単語5-1,共感,きょうかん①,名・自Ⅲ,同感；共鸣
第5課,練習用単語5-1,回す,まわす①,他Ⅰ,传递；转动
第5課,練習用単語5-1,感想,かんそう①,名,感想；感受
第5課,練習用単語5-2,何度,なんど①,名,几次
第5課,練習用単語5-2,忘年会,ぼうねんかい③,名,（年底举行的）联欢会
第5課,練習用単語5-2,司会,しかい①,名・他Ⅲ,（会议、晚会等的）主持人；主持
第5課,練習用単語5-2,寝坊,ねぼう①,名・形Ⅱ・自Ⅲ,睡懒觉；贪睡晚起（的人）
第5課,練習用単語5-2,大人,おとな①②,名,大人；成年人
第5課,練習用単語5-2,青色,あおいろ①,名,蓝色；青色
第5課,練習用単語5-2,親しい,したしい③,形Ⅰ,亲近（的）；亲密（的）
第5課,練習用単語5-3,モデルルーム,④,名,样板间
第5課,練習用単語5-3,モデル,①①,名,模特；样板；模范
第5課,練習用単語5-3,仲,なか①,名,关系；感情
第5課,練習用単語5-3,上品,じょうひん③,名・形Ⅱ,优雅；质量上乘
第5課,練習用単語5-3,フルーティー,②,形Ⅱ,果香四溢（的）
第5課,練習用単語5-3,アンダーソン,②,固名,安德森
第5課,練習用単語5-3,髪型,かみがた①,名,发型
第5課,練習用単語5-3,ライオン,①,名,狮子
第5課,練習用単語5-3,唐,とう①,固名,（姓氏）唐
第5課,練習用単語5-3,不思議,ふしぎ①,形Ⅱ,不可思议；奇怪
第5課,練習用単語5-3,徹底,てってい①,名・自Ⅲ,彻底；贯彻
第5課,練習用単語5-3,検証,けんしょう①,名・他Ⅲ,证实；查证；检查；验证
第5課,練習用単語5-3,今にも,いまにも①,副,马上；眼看
第5課,練習用単語5-3,テーブル,①,名,桌子
第5課,練習用単語5-3,お目にかかる,おめにかかる①-②,（「会う」的自谦说法）见到
第5課,練習用単語5-3,通訳,つうやく①,名・他Ⅲ,翻译；口译
第6課,練習用単語6-1,花粉,かふん①,名,花粉
第6課,練習用単語6-1,-点,-てん,接尾,分；件
第6課,練習用単語6-1,仮定,かてい①,名・他Ⅲ,假定；假设
第6課,練習用単語6-1,一周,いっしゅう①,名・自Ⅲ,一周；一圈；绕～一周；环游
第6課,練習用単語6-2,故障,こしょう①,名・自Ⅲ,故障；出故障
第6課,練習用単語6-2,国慶節,こっけいせつ③,名,国庆节
第6課,練習用単語6-2,尽くす,つくす②,他Ⅰ,尽；尽力
第6課,練習用単語6-2,迷惑をかける,めいわくをかける①-②,添麻烦
第6課,練習用単語6-2,迷惑,めいわく①,名・形Ⅱ,麻烦；烦扰
第6課,練習用単語6-2,冷たい,つめたい③③,形Ⅰ,冷（的）；凉（的）；冷淡（的）
第6課,練習用単語6-2,朝いちばん,あさいちばん①-②,名,一大早；一清早
第6課,練習用単語6-2,月末,げつまつ①,名,月末；月底
第6課,練習用単語6-2,目的,もくてき①,名,目的
第7課,練習用単語7-2,人形,にんぎょう①,名,人偶；玩偶
第7課,練習用単語7-2,京都,きょうと①,固名,京都
第7課,練習用単語7-2,城,しろ①,名,城；城堡
第7課,練習用単語7-2,アイスクリーム,⑤,名,冰淇淋
第7課,練習用単語7-2,春,はる①,名,春天
第7課,練習用単語7-2,評価,ひょうか①,名・他Ⅲ,评价；好评；点评
第7課,練習用単語7-2,たとえる【喩える】,③,他Ⅱ,比喻；打比方
第7課,練習用単語7-2,最も,もっとも①③,副,最
第7課,練習用単語7-2,打つ,うつ①,他Ⅰ,放；射；击打
第7課,練習用単語7-2,恋愛,れんあい⓪,名・自Ⅲ,恋爱
第7課,練習用単語7-2,学力,がくりょく②⓪,名,学习能力
第7課,練習用単語7-3,イチゴ【莓】,①,名,草莓
第7課,練習用単語7-3,北海道,ほっかいどう③,固名,北海道
第7課,練習用単語7-3,沖縄,おきなわ①,固名,冲绳
第7課,練習用単語7-3,西郷隆盛,さいごうたかもり①-②,固名,西乡隆盛
第7課,練習用単語7-3,幕末,ばくまつ①,名,幕府末期
第7課,練習用単語7-3,明治,めいじ①,固名,明治；明治时期
第7課,練習用単語7-3,産む,うむ①,他Ⅰ,生（孩子）；得出；产出
第7課,練習用単語7-3,関東,かんとう①,固名,关东地区
第7課,練習用単語7-3,東北,とうほく①,固名,东北地区
第7課,練習用単語7-3,雨雲,あまぐも①,名,雨云；阴云
第7課,練習用単語7-3,およそ,①,名・副,大约；大概
第7課,練習用単語7-3,トレーニング,②,名・他Ⅲ,训练；锻炼；练习
第7課,練習用単語7-3,乗り越える,のりこえる④③,他Ⅱ,跨过；超过
第7課,練習用単語7-3,生放送,なまほうそう③,名・他Ⅲ,现场直播；直接播出
第7課,練習用単語7-3,生-,なま-,接頭,现场；直接；鲜；生
第7課,練習用単語7-3,放送,ほうそう①,名・他Ⅲ,播出；播放；播送
第7課,練習用単語7-3,終了,しゅうりょう①,名・自他Ⅲ,结束
第7課,練習用単語7-3,ベストセラー,④,名,畅销书
第7課,練習用単語7-3,道具,どうぐ①,名,工具
第7課,練習用単語7-3,代表作,だいひょうさく③,名,代表作
第7課,練習用単語7-3,危機,きき①②,名,危机；险关
第7課,練習用単語7-3,しっかり,③,副,结实；紧固；充分
第7課,練習用単語7-3,自己管理,じこかんり③,名,自我管理
第7課,練習用単語7-3,自己,じこ①,名,自我；自己
第7課,練習用単語7-3,管理,かんり①,名・他Ⅲ,管理
第7課,練習用単語7-3,特徴,とくちょう①,名,特征
第7課,練習用単語7-3,民族,みんぞく①,名,民族
第7課,練習用単語7-3,ランチ,①,名,午餐
第7課,練習用単語7-3,島々,しまじま②,名,群岛；诸岛
第7課,練習用単語7-3,ベネチア,①②,固名,威尼斯
第7課,練習用単語7-3,都,みやこ①,名,京城；首府
第7課,練習用単語7-3,白ごま,しろごま①,名,白芝麻
第7課,練習用単語7-3,野菜だし,やさいだし④,名,蔬菜汤
第7課,練習用単語7-3,だし【出汁】,②,名,汤；汤汁
第7課,練習用単語7-3,餡,あん①,名,（饺子、包子、面包等的）馅儿
第7課,練習用単語7-3,味わい,あじわい①,名,风味；味道
第7課,練習用単語7-3,弱冠,じゃっかん①,名,（男子）年少；二十岁；弱冠
第7課,練習用単語7-3,現役,げんえき①,名,现役；在职
第7課,練習用単語7-3,バンド,①①,名,乐队；皮带；腰带
第7課,練習用単語7-3,貢献,こうけん①,名・自Ⅲ,贡献
第7課,練習用単語7-3,共有,きょうゆう①,名・他Ⅲ,共有；共享
第7課,練習用単語7-3,ものづくり,③,名,制作物品
第7課,練習用単語7-3,目指す,めざす②,他Ⅰ,以……为目标
第7課,練習用単語7-3,懸命,けんめい①,形Ⅱ,拼命；奋力；竭尽全力
第7課,練習用単語7-3,年代,ねんだい①,名,年代
第7課,練習用単語7-3,描く,えがく②,他Ⅰ,画；描绘；描写
第7課,練習用単語7-3,抱える,かかえる①④,他Ⅱ,双手抱；怀抱；抱有；负担
第7課,練習用単語7-3,手書き,てがき①,名,手写；手书
第7課,練習用単語7-3,購入,こうにゅう①,名・他Ⅲ,购入；购买
第7課,練習用単語7-3,進める,すすめる①,他Ⅱ,推进；推动
第7課,練習用単語7-3,起業,きぎょう①①,名・他Ⅲ,创业
第8課,練習用単語8-1,京料理,きょうりょうり③,固名,京都菜
第8課,練習用単語8-1,召し上がる,めしあがる④①,他Ⅰ,（「食べる」「飲む」的尊敬说法）吃；喝
第8課,練習用単語8-1,全品,ぜんひん①,名,所有商品
第8課,練習用単語8-1,クーポン,①,名,优惠券；打折券
第8課,練習用単語8-1,公式,こうしき①,名,正式；公开；（数学）公式
第8課,練習用単語8-1,申し込む,もうしこむ④,他Ⅰ,报名；提议；申请；预约
第8課,練習用単語8-1,褒める,ほめる②,他Ⅱ,表扬；夸奖
第8課,練習用単語8-1,叱る,しかる①,他Ⅰ,斥责；责备；批评
第8課,練習用単語8-1,記念,きねん①,名・他Ⅲ,纪念；留念
第8課,練習用単語8-1,式典,しきてん①,名,仪式；典礼
第8課,練習用単語8-1,動画,どうが①,名,视频；动画
第8課,練習用単語8-1,魯迅,ろじん①,固名,鲁迅
第8課,練習用単語8-1,聖徳太子,しょうとくたいし⑤④,固名,圣德太子
第8課,練習用単語8-1,法隆寺,ほうりゅうじ①,固名,法隆寺
第8課,練習用単語8-1,建てる,たてる②,他Ⅱ,建；建造
第8課,練習用単語8-1,チャイコフスキー,③,固名,柴可夫斯基
第8課,練習用単語8-1,白鳥の湖,はくちょうのみずうみ①-③,固名,（乐曲名）《天鹅湖》
第8課,練習用単語8-1,白鳥,はくちょう①,名,天鹅
第8課,練習用単語8-1,作曲,さっきょく①,名・他Ⅲ,作曲
第8課,練習用単語8-1,スペイン,②,固名,西班牙
第8課,練習用単語8-1,教会,きょうかい①,名,教堂
第8課,練習用単語8-1,インターン,③,名,实习
第8課,練習用単語8-1,はやる,②,自Ⅰ,流行；盛行；风靡
第8課,練習用単語8-1,ロマンチック,④,形Ⅱ,浪漫（的）
第8課,練習用単語8-1,妻,つま①,名,妻子
第8課,練習用単語8-2,壊す,こわす②,他Ⅰ,弄坏；搞坏
第8課,練習用単語8-2,割る,わる①,他Ⅰ,弄碎；打碎；切开；分开；除
第8課,練習用単語8-2,泣く,なく①,自Ⅰ,哭泣
第8課,練習用単語8-2,泥棒,どろぼう①,名,小偷
第8課,練習用単語8-2,取る,とる①,他Ⅰ,拿；取；领
第8課,練習用単語8-2,咳,せき②,名,咳嗽
第8課,練習用単語8-2,様態,ようたい①,名,样态；样子；情况
第8課,練習用単語8-2,嫌,いや②,形Ⅱ,讨厌；不喜欢
第8課,練習用単語8-2,感銘,かんめい①,名・自Ⅲ,感动；铭记
第8課,練習用単語8-2,印象,いんしょう①,名・自Ⅲ,印象
第9課,練習用単語9-1,プラン,①,名,计划
第9課,練習用単語9-1,ハイキング,①,名・自Ⅲ,徒步旅行
第9課,練習用単語9-1,ついに,①,副,终于；总算
第9課,練習用単語9-1,憧れ,あこがれ①,名,憧憬；向往
第9課,練習用単語9-1,始発,しはつ①,名,始发；头班车
第9課,練習用単語9-1,感動,かんどう①,名・自Ⅲ,感动
第9課,練習用単語9-1,深い,ふかい②,形Ⅰ,深（的）；浓（的）；意义深远（的）
第9課,練習用単語9-1,収入,しゅうにゅう①,名,收入
第9課,練習用単語9-1,やりがい,①,名,做某事的意义、价值；干头
第9課,練習用単語9-1,試作,しさく①,名・他Ⅲ,试制；试作
第9課,練習用単語9-1,使役,しえき①,名・他Ⅲ,使动；使役；驱使
第9課,練習用単語9-1,検査,けんさ①,名・他Ⅲ,检查
第9課,練習用単語9-1,出張,しゅっちょう①,名・自Ⅲ,出差
第9課,練習用単語9-1,麻婆豆腐,マーボードーフ⑤,名,麻婆豆腐
第9課,練習用単語9-2,コンクール,③,名,比赛
第9課,練習用単語9-2,木綿,もめん①,名,棉花；棉；棉布
第9課,練習用単語9-2,両方,りょうほう①③,名,双方；二者
第9課,練習用単語9-2,スイーツ,②,名,甜点；糖果
第9課,練習用単語9-2,クオリティー,②,名,品质；质量；性质；特质
第9課,練習用単語9-2,物価,ぶっか①,名,物价
第9課,練習用単語9-2,発売,はつばい①,名・他Ⅲ,销售；发售
第9課,練習用単語9-2,煙,けむり①,名,烟；烟雾
第9課,練習用単語9-2,レシート,②,名,收据；收条；小票
第9課,練習用単語9-2,大山,おおやま①,固名,大山（日本地名，也做姓氏）
第9課,練習用単語9-2,営業,えいぎょう①,名・他Ⅲ,营业；经营；销售
第9課,練習用単語9-2,領収書,りょうしゅうしょ①,名,收据；发票
第9課,練習用単語9-2,領収,りょうしゅう①,名・他Ⅲ,收；领取
第9課,練習用単語9-2,野菜サンド,やさいサンド④,名,蔬菜三明治
第9課,練習用単語9-2,小計,しょうけい①,名・自Ⅲ,小计
第9課,練習用単語9-2,消費税,しょうひぜい③,名,消费税
第9課,練習用単語9-2,税,ぜい①,名,税；税金
第9課,練習用単語9-2,合計,ごうけい①,名・他Ⅲ,合计
第9課,練習用単語9-2,預かり,あずかり①,名,保管；管理
第9課,練習用単語9-2,お釣り,おつり①,名,找的零钱
第9課,練習用単語9-2,現金,げんきん③,名,现金
第9課,練習用単語9-2,タイムサービス,④,名,限时促销活动
第9課,練習用単語9-2,タイム,①,名,时间
第9課,練習用単語9-2,値引き,ねびき①,名・他Ⅲ,降价；减价
